Mô tả vấn đề,Loại vấn đề,Nguồn,Lời khuyên,Loài,Hướng dẫn chăm sóc
Chuột hamster bị rụng lông và đỏ ở phần dưới bụng.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Tai chồn đau khi chạm vào.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Xét nghiệm kháng nguyên giun tim dương tính; phân loại tình trạng và lập kế hoạch điều trị.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Xét nghiệm kháng nguyên giun tim âm tính. Xét nghiệm microfilaria âm tính.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Nhiễm trùng tai chó cần quản lý dài hạn.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Bệnh Addison (suy vỏ thượng thận) có thể gây ra dấu hiệu tiêu hóa tăng giảm.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo ngừng leo lên các vị trí cao.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Thảo luận về tầm quan trọng của việc giải quyết các yếu tố chính (dị ứng, cấu trúc) để kiểm soát lâu dài.",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Loại trừ suy giáp là nguyên nhân gây khô da và rụng lông.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Thỏ bị rụng lông và bong vảy quanh mắt.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
"Móng mèo dài quá, có thể gây đau khi sử dụng cột cào.",Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Phân tích dáng đi: quan sát đi bộ, chạy bộ, xoay người, leo cầu thang.",Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Lên lịch tái khám phù hợp với mức độ nghiêm trọng của tình trạng (ví dụ: 1-2 tuần cho nhiễm trùng cấp tính, lâu hơn cho quản lý mãn tính).",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó của tôi ăn cỏ quá mức và sau đó nôn bọt.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chuột lang xuất hiện các mảng hói phía sau tai.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
Theo dõi loét do tì đè ở bệnh nhân nằm lâu.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo kêu đau khi ngáp hoặc ăn.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Ghi lại điểm khập khiễng (thang điểm 0-5) và đặc điểm (chịu lực, không chịu lực, gián đoạn).",Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Nghi ngờ viêm da tiếp xúc ở bụng dưới ít lông.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Bụng chó đột nhiên căng cứng và phình to.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Mèo khó leo lên ghế sofa.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chuột hamster bị tiêu chảy và không hoạt động như bình thường.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo có vết loét bong vảy trên rìa tai.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Quan sát mô hình viêm da miliary ở mèo; cân nhắc dị ứng bọ chét hoặc dị ứng thức ăn.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó kêu lên khi nhảy xuống ghế sofa.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Mèo cọ đầu/tai vào đồ đạc.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chẩn đoán cường giáp (T4 tăng) ở mèo với sụt cân, ăn nhiều, nôn mửa.",Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Sử dụng nitenpyram (Capstar) đường uống để tiêu diệt bọ chét trưởng thành nhanh chóng.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Cân nhắc bảng PCR phân để sàng lọc ký sinh trùng toàn diện, đặc biệt trong trường hợp tiêu chảy mãn tính.",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo sụt cân nhưng ăn nhiều hơn bình thường.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Đánh giá tác dụng phụ của thuốc có thể gây rối loạn tiêu hóa.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cân nhắc liệu pháp laser mức thấp (LLLT) như điều trị bổ trợ cho viêm và đau.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chó có cục và vảy, bác sĩ thú y nghi ngờ viêm da dị ứng bọ chét.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Ve tai của mèo dường như kháng với các phương pháp điều trị thông thường.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chó bị dị ứng bọ chét, phản ứng nghiêm trọng với một vết cắn.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Mèo tiết nước bọt quá mức và cào vào miệng.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cung cấp dự toán cho chẩn đoán và các phương pháp điều trị tiềm năng.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Nếu cấy cho thấy vi khuẩn kháng thuốc, cân nhắc công thức bôi tại chỗ hoặc liệu pháp toàn thân dựa trên MIC.",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó già của tôi đau và chậm chạp khi đứng dậy sau giấc ngủ ngắn.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Mèo con có bụng phình và không phát triển tốt, người bán nói có thể bị giun.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Tiêu chảy kèm sụt cân; kiểm tra mức tuyến giáp.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Mèo của tôi mang chuột về, giờ tôi lo bị giun.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó của tôi bị teo cơ.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Nhiễm nấm da được xác nhận bằng cấy nấm; bắt đầu dùng itraconazole.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Đau khi sờ nắn đuôi/vùng thắt lưng-cùng.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chuột lang bị liệt hai chân sau.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
"Mèo có lông nhờn, bết dính dọc theo lưng.",Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chồn cào và rụng lông, đặc biệt quanh vai.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Ghi chú giống và đặc điểm cấu trúc của bệnh nhân (ví dụ: ống tai hẹp ở Shar Peis, tai cụp ở Spaniels).",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chân trước của chó có vẻ cong ra ngoài ở cổ tay.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chó có nhiễm bọ chét nghiêm trọng và thiếu máu thứ phát (PCV 22%).,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Khuyên dùng phòng ngừa ký sinh trùng phổ rộng quanh năm (giun tim, ký sinh trùng đường ruột, bọ chét, ve).",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Nghi ngờ rụng lông do pha loãng màu ở chó lông xanh với chất lượng lông kém và viêm nang lông.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
Kê đơn fluralaner (Bravecto) để kiểm soát bọ chét và ve trong 12 tuần.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"X-quang cho thấy u xương, xơ cứng, và có thể UAP/FCP ở khuỷu trái.",Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó bị đỏ và sưng lan ra ngoài vành tai.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Vẹt của tôi tự cắn lông liên tục và có vẻ bồn chồn.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chim,"Giữ chim ấm áp, trong lồng yên tĩnh; tránh căng thẳng; liên hệ bác sĩ thú y chuyên về chim ngay lập tức."
Chuột hamster bị mất nước (da căng khi véo).,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Kiểm tra phân bằng kỹ thuật Baermann để phát hiện ấu trùng giun phổi.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Giống chó của tôi (Cocker Spaniel) dễ bị nhiễm trùng tai.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Hạn chế hoạt động nghiêm ngặt sau phẫu thuật.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó bị phân lỏng như bánh pudding trong ba ngày liên tiếp.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chó có thể bị 'tai bơi' sau khi nhảy xuống nước.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Thỏ ngừng nhảy bình thường.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
"Chó liên tục duỗi người vào tư thế 'cúi chơi', có vẻ đau.",Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Khuyên làm sạch tai dự phòng với chất làm khô sau khi bơi/tắm.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Khuyên dùng chất làm sạch tai chứa Tris-EDTA trước khi bôi kháng sinh, đặc biệt cho Pseudomonas.",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chụp X-quang tương phản (barium series) được thực hiện; ghi nhận thời gian di chuyển chậm.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chân chuột lang đỏ và sưng.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
Nhiễm trùng tai mèo không đáp ứng với thuốc nhỏ kháng sinh hiện tại.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Kê đơn sulfadimethoxine (Albon) để điều trị Coccidia.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cân nhắc giới thiệu đến bác sĩ da liễu thú y để kiểm tra dị ứng.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Sử dụng thuốc tẩy giun theo hướng dẫn của nhà sản xuất.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cân nhắc thử nghiệm loại bỏ thức ăn nếu nghi ngờ dị ứng thực phẩm.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo con có vảy sau tai.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Kê đơn prednisone ngắn ngày cho viêm nặng.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Hội chứng Horner (co đồng tử, sụp mí, lõm nhãn cầu, màng nháy thứ ba lồi) xuất hiện cùng bên với viêm tai giữa.",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chó của tôi thỉnh thoảng khập khiễng nhưng biến mất khi chơi mạnh, sau đó trở lại.",Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chó con đến từ lứa có nhiều con bị ve tai.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Mèo có các vết vảy nhỏ như hạt kê trên khắp cơ thể.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Thỏ có vết loét trên gót chân do ngồi bất thường.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Chó của tôi xét nghiệm dương tính với Ehrlichiosis trong kiểm tra hàng năm.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Khuyên cho ăn nhiều bữa nhỏ mỗi ngày thay vì một hoặc hai bữa lớn.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chó bị giun roi theo bác sĩ thú y, cần thuốc tẩy giun đặc hiệu.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Loại trừ tắc nghẽn do dị vật; khuyến nghị siêu âm bụng.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Viêm tai ngoài (AU - cả hai tai) được ghi nhận; đỏ vừa phải và tiết dịch sáp.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
